id,make,model,year,cylinders,fuelType,city08,highway08,comb08,co2TailpipeGpm,barrels08,displ,drive,trany
1,Alfa Romeo,Spider Veloce 2000,1985,4,Regular,19,25,21,423.1904762,15.69571429,2,Rear-Wheel Drive,Manual 5-spd
10,Ferrari,Testarossa,1985,12,Regular,9,14,11,807.9090909,29.96454545,4.9,Rear-Wheel Drive,Manual 5-spd
100,Dodge,Charger,1985,4,Regular,23,33,27,329.1481481,12.20777778,2.2,Front-Wheel Drive,Manual 5-spd
1000,Dodge,B150/B250 Wagon 2WD,1985,8,Regular,10,12,11,807.9090909,29.96454545,5.2,Rear-Wheel Drive,Automatic 3-spd
10000,Subaru,Legacy AWD Turbo,1993,4,Premium,17,23,19,467.7368421,17.34789474,2.2,4-Wheel or All-Wheel Drive,Manual 5-spd
10001,Subaru,Loyale,1993,4,Regular,21,24,22,403.9545455,14.98227273,1.8,Front-Wheel Drive,Automatic 3-spd
10002,Subaru,Loyale,1993,4,Regular,22,29,25,355.48,13.1844,1.8,Front-Wheel Drive,Manual 5-spd
10003,Toyota,Corolla,1993,4,Regular,23,26,24,370.2916667,13.73375,1.6,Front-Wheel Drive,Automatic 3-spd
10004,Toyota,Corolla,1993,4,Regular,23,31,26,341.8076923,12.67730769,1.6,Front-Wheel Drive,Manual 5-spd
10005,Toyota,Corolla,1993,4,Regular,23,30,25,355.48,13.1844,1.8,Front-Wheel Drive,Automatic 4-spd
10006,Toyota,Corolla,1993,4,Regular,23,30,26,341.8076923,12.67730769,1.8,Front-Wheel Drive,Manual 5-spd
10007,Volkswagen,Golf III / GTI,1993,4,Regular,18,26,21,423.1904762,15.69571429,2,Front-Wheel Drive,Automatic 4-spd
10008,Volkswagen,Golf III / GTI,1993,4,Regular,21,29,24,370.2916667,13.73375,2,Front-Wheel Drive,Manual 5-spd
10009,Volkswagen,Jetta III,1993,4,Regular,18,26,21,423.1904762,15.69571429,2,Front-Wheel Drive,Automatic 4-spd
1001,Dodge,B150/B250 Wagon 2WD,1985,8,Regular,12,15,13,683.6153846,25.35461538,5.2,Rear-Wheel Drive,Automatic 3-spd
10010,Volkswagen,Jetta III,1993,4,Regular,20,28,23,386.3913043,14.33086957,2,Front-Wheel Drive,Manual 5-spd
10011,Volvo,240,1993,4,Regular,18,23,20,444.35,16.4805,2.3,Rear-Wheel Drive,Automatic 4-spd
10012,Volvo,240,1993,4,Regular,19,26,21,423.1904762,15.69571429,2.3,Rear-Wheel Drive,Manual 5-spd
10013,Audi,100,1993,6,Premium,17,22,19,467.7368421,17.34789474,2.8,Front-Wheel Drive,Automatic 4-spd
10014,Audi,100,1993,6,Premium,17,24,19,467.7368421,17.34789474,2.8,Front-Wheel Drive,Manual 5-spd
10015,BMW,740i,1993,8,Premium,14,20,16,555.4375,20.600625,4,Rear-Wheel Drive,Automatic 5-spd
10016,BMW,740il,1993,8,Premium,14,20,16,555.4375,20.600625,4,Rear-Wheel Drive,Automatic 5-spd
10017,BMW,750il,1993,12,Regular,11,17,13,683.6153846,25.35461538,5,Rear-Wheel Drive,Automatic 4-spd
10018,Buick,Century,1993,4,Regular,21,28,23,386.3913043,14.33086957,2.2,Front-Wheel Drive,Automatic 3-spd
10019,Buick,Century,1993,6,Regular,17,24,19,467.7368421,17.34789474,3.3,Front-Wheel Drive,Automatic 3-spd
1002,Dodge,B150/B250 Wagon 2WD,1985,8,Regular,11,17,13,683.6153846,25.35461538,5.2,Rear-Wheel Drive,Manual 4-spd
10020,Buick,Century,1993,6,Regular,18,26,21,423.1904762,15.69571429,3.3,Front-Wheel Drive,Automatic 4-spd
10021,Buick,Regal,1993,6,Regular,17,25,20,444.35,16.4805,3.1,Front-Wheel Drive,Automatic 3-spd
10022,Buick,Regal,1993,6,Regular,17,27,20,444.35,16.4805,3.1,Front-Wheel Drive,Automatic 4-spd
10023,Buick,Regal,1993,6,Regular,17,26,20,444.35,16.4805,3.8,Front-Wheel Drive,Automatic 4-spd
10024,Buick,Riviera,1993,6,Regular,17,25,20,444.35,16.4805,3.8,Front-Wheel Drive,Automatic 4-spd
